"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"687",5036027901,"vacant land","New","General Services","PF-1","3950 S HOBART BLVD","LOS ANGELES","Empowerment Congress North Area",-118.3074858,34.01266236,15,"None",5850.3027,"None","South Los Angeles",NA,5036027901,NA,"114B193    49","L A CITY",NA,-118.3074858,34.01266236,TRUE
"688",4128018917,"vacant land","Owned","Airports",NA,"9720 HINDRY PL","LOS ANGELES",NA,-118.372482,33.947761,4,"None",6695.144641,"None",NA,NA,4128018917,NA,NA,NA,NA,-118.372482,33.947761,TRUE
"689",4128016901,"vacant land","Owned","Airports",NA,"5201 W 97TH PL","LOS ANGELES",NA,-118.3704376,33.9478073,4,"None",6148.148218,"None",NA,NA,4128016901,NA,NA,NA,NA,-118.3704376,33.9478073,TRUE
"690",2551015900,"vacant land","Surplus-Undeclared","General Services","RE40-1","11390 N ALETHEA DR 0","LOS ANGELES",NA,-118.3072249,34.2746245,14,NA,48467.9249,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2551015900,NA,NA,NA,NA,-118.3072249,34.2746245,TRUE
"691",4128009906,"vacant land","Owned","Airports",NA,"5400 W 93RD ST","LOS ANGELES",NA,-118.3741913,33.9513664,4,"None",6710.27515,"None",NA,NA,4128009906,NA,NA,NA,NA,-118.3741913,33.9513664,TRUE
"692",4128016902,"vacant land","Owned","Airports",NA,"5207 W 97TH ST","LOS ANGELES",NA,-118.3706284,33.9485931,4,"None",6196.291039,"None",NA,NA,4128016902,NA,NA,NA,NA,-118.3706284,33.9485931,TRUE
"693",5039019923,"vacant land","New","General Services","RD1.5-1-O","NONE","LOS ANGELES","Empowerment Congress North Area",-118.2859055,34.02717621,16,"None",2145.66256,NA,"South Los Angeles",NA,5039019923,NA,"121-5A201 141","L A CITY",NA,-118.2859055,34.02717621,TRUE
"694",4128019900,"vacant land","Owned","Airports",NA,"5300 W 99TH ST","LOS ANGELES",NA,-118.3737564,33.9467773,4,"None",6376.917316,"None",NA,NA,4128019900,NA,NA,NA,NA,-118.3737564,33.9467773,TRUE
"695",5549018900,"vacant land","Surplus-Undeclared","General Services","[Q]R4-1VL","1905 N HIGHLAND AVE","LOS ANGELES",NA,-118.3378372,34.1052475,11,"None",10267.39325,"None",NA,"Vacant Land",5549018900,NA,NA,NA,NA,-118.3378372,34.1052475,TRUE
"696",2401011900,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8820 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.317978,34.236271,14,"North Valley",72648.57529,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401011900,NA,NA,NA,NA,-118.317978,34.236271,TRUE
